job_role,skills
business development manager,"Sales, Negotiation, Market Research, CRM, Lead Generation"
account manager,"Client Relations, CRM, Sales, Communication, Customer Service"
customer service representative,"Communication, Problem-Solving, Product Knowledge, Customer Care, CRM"
social media manager,"Social Media, Content Creation, SEO, Google Analytics, Campaign Management"
copywriter,"Copywriting, SEO, Content Creation, Research, Marketing"
data visualization specialist,"Tableau, Power BI, Excel, Data Analysis, Dashboard Design"
game developer,"Unity, C#, Java, Game Design, 3D Modeling, Game Testing"
product designer,"Sketch, Prototyping, UI/UX Design, User Research, Wireframing"
research scientist,"Research, Lab Equipment, Data Analysis, Statistics, Scientific Writing"
supply chain manager,"Logistics, Supply Chain Optimization, Inventory Management, Vendor Relations, Operations Management"
operations analyst,"Data Analysis, Excel, SQL, Process Optimization, Reporting"
public relations manager,"Media Relations, Press Releases, Communication, Campaigns, Brand Management"
advertising manager,"Advertising, Marketing, Campaign Management, Media Buying, Digital Marketing"
QA engineer,"Automation Testing, Manual Testing, Agile, Test Automation, Selenium"
network architect,"Networking, Routing, Switching, Firewall, Cloud Computing"
IT consultant,"IT Strategy, Networking, Cloud Computing, Security, Tech Support"
market research analyst,"Market Research, Data Analysis, Surveys, Statistical Software, Consumer Behavior"
videographer,"Video Production, Lighting, Editing, Camera Operation, Filmmaking"
SEO specialist,"SEO, Google Analytics, Keyword Research, Content Optimization, Link Building"
cloud engineer,"AWS, Google Cloud, Azure, DevOps, Cloud Security"
financial planner,"Financial Planning, Investment Strategy, Portfolio Management, Tax Planning, Retirement Planning"
business consultant,"Strategy, Market Research, Data Analysis, Consulting, Management"
insurance agent,"Insurance Sales, Customer Service, Policy Management, Underwriting, Claims"
real estate agent,"Property Listings, Sales Negotiation, Customer Service, Marketing, Real Estate Law"
executive assistant,"Calendar Management, Microsoft Office, Communication, Organization, Travel Coordination"
product marketing manager,"Marketing Strategy, Branding, Digital Marketing, Content Creation, SEO"
brand manager,"Brand Strategy, Marketing, Content Development, Market Research, Advertising"
editorial assistant,"Editing, Proofreading, Research, Content Creation, Publishing"
digital marketing manager,"SEO, SEM, Social Media, Email Marketing, Content Marketing"
IT project manager,"Project Management, IT Management, Agile, Team Leadership, Software Development"
operations director,"Leadership, Strategy, Process Improvement, Team Management, Budgeting"
sales engineer,"Sales, Technical Knowledge, Product Demos, Customer Support, Negotiation"
accountant,"Accounting, Taxation, Financial Reporting, Excel, QuickBooks"
translator,"Language Proficiency, Translation, Editing, Proofreading, Localization"
teacher assistant,"Classroom Support, Lesson Preparation, Communication, Organization, Child Development"
